id,text,language,platform,label,user_location,timestamp,likes,shares,comments,engagement_rate,user_age,user_gender,device_type,post_type,sentiment_score,emotional_tone,has_media,account_type,activity_level,mood_keyword,follower_count,following_count,account_age_days,verified_status,content_reported,predicted_sentiment,confidence
1,أشعر وكأنني أستطيع غزو العالم!,Arabic,Facebook,Manic Episode,India,2024-03-18 15:54,8710,4207,2746,2.4216,51,Other,Mobile,Video,-0.41,Positive,False,Business,Very High,Happy,228730,2962,1886,False,False,depressive episode,26.529004329004337
2,Estoy perdiendo el interés en todo.,English,Twitter,Depressive Episode,Canada,2024-03-12 21:23,7445,3596,1495,2.283,55,Female,Tablet,Link,-0.6,Very Positive,True,Business,Low,Sad,707814,2073,2555,True,False,depressive episode,76.55981240981242
3,"I feel like I’m losing control, I’m panicking!",Arabic,Twitter,Anxiety Crisis,Mexico,2024-03-7 19:43,1080,727,1347,1.0073,59,Other,Tablet,Text,0.43,Very Positive,False,Influencer,Very High,Calm,214310,3440,3021,False,False,anxiety crisis,69.41010101010102
4,有时候我想结束一切。,Spanish,Facebook,Suicidal Ideation,UK,2024-03-3 21:21,1775,4589,2700,0.968,50,Male,Mobile,Video,0.01,Very Negative,True,Business,High,Sad,125743,2238,1391,False,True,depressive episode,26.52900432900433
5,"¡Tengo una energía increíble, no puedo parar!",Arabic,Twitter,Manic Episode,China,2024-03-23 12:0,480,2148,1465,1.5037,23,Female,Tablet,Text,-0.64,Positive,False,Personal,High,Energetic,662731,1251,1095,True,False,manic episode,79.19314574314573
6,"¡Tengo una energía increíble, no puedo parar!",English,Twitter,Manic Episode,Spain,2024-03-26 8:45,2488,3320,249,1.5535,60,Other,Tablet,Image,-0.37,Very Negative,True,Personal,Very High,Sad,596148,2450,234,True,False,manic episode,79.19314574314573
7,أتمنى لو لم أكن موجودًا.,Mandarin,Facebook,Suicidal Ideation,Australia,2024-03-22 6:21,8537,3289,1603,1.4951,15,Male,Mobile,Link,0.16,Positive,True,Influencer,Medium,Sad,314514,3472,870,True,False,depressive episode,26.529004329004337
8,I don’t see the point in continuing...,English,Facebook,Suicidal Ideation,Australia,2024-03-27 14:27,2122,169,1024,0.3681,48,Other,Tablet,Link,-0.79,Negative,True,Influencer,Very High,Happy,398083,2099,229,False,False,suicidal ideation,68.16443001443001
9,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Facebook,Manic Episode,Australia,2024-03-4 9:2,8004,1299,1959,1.283,28,Male,Tablet,Image,1.0,Very Negative,False,Influencer,Low,Anxious,419478,606,3352,True,False,manic episode,79.19314574314573
10,أشعر وكأنني أستطيع غزو العالم!,Arabic,Twitter,Manic Episode,UK,2024-03-24 22:53,6434,3723,2553,7.238,47,Other,Mobile,Link,-0.86,Positive,False,Personal,Low,Calm,801522,252,774,True,False,depressive episode,26.529004329004337
